group,release_id,benchmark_slug,organization,model_name,release_date,benchmark_name,benchmark_release_date,family_id,family_rank,prior_release,prior_model_name,n_benchmarks_scored,independent_score,orbit_category,reported,reported_value,source_tier,source_url,source_date,variant_name,prior_model_reported,prior_source_url,reverse_gap,coder,flagged_for_review,notes
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,hella_swag,Alibaba,Qwen2.5-72B,2024-09-19,HellaSwag,2019-05-19,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.848,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,math_level_5,Alibaba,Qwen2.5-72B,2024-09-19,MATH level 5,2021-03-05,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.631703172205438,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,mmlu,Alibaba,Qwen2.5-72B,2024-09-19,MMLU,2020-09-07,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.853,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,os_world,Alibaba,Qwen2.5-72B,2024-09-19,OSWorld,2024-04-11,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,5.0,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,piqa,Alibaba,Qwen2.5-72B,2024-09-19,PIQA,2019-11-26,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.826,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,trivia_qa,Alibaba,Qwen2.5-72B,2024-09-19,TriviaQA,2017-05-09,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.719,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,video_mme,Alibaba,Qwen2.5-72B,2024-09-19,video_mme,2024-05-31,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.735,,,,,,,,,,,,,
eligible,Alibaba | Qwen2.5-72B | 2024-09-19,wino_grande,Alibaba,Qwen2.5-72B,2024-09-19,Winogrande,2019-07-24,Alibaba / Qwen 72B,3,Alibaba | Qwen2-72B | 2024-06-07,Qwen2-72B,19,0.823,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,ale_bench,Alibaba,Qwen 3.6 Flash,2026-04-27,ale_bench,2025-06-10,Alibaba / Qwen Flash,1,,,9,326.4,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,chess_puzzles,Alibaba,Qwen 3.6 Flash,2026-04-27,Chess Puzzles,2025-12-10,Alibaba / Qwen Flash,1,,,9,0.2,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,frontiermath,Alibaba,Qwen 3.6 Flash,2026-04-27,FrontierMath-2025-02-28-Private,2025-02-28,Alibaba / Qwen Flash,1,,,9,0.1034482758620689,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,frontiermath_tier_4,Alibaba,Qwen 3.6 Flash,2026-04-27,FrontierMath-Tier-4-2025-07-01-Private,2025-07-01,Alibaba / Qwen Flash,1,,,9,0.0,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,gpqa_diamond,Alibaba,Qwen 3.6 Flash,2026-04-27,GPQA diamond,2023-11-20,Alibaba / Qwen Flash,1,,,9,0.8333333333333334,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,otis_mock_aime_2024_2025,Alibaba,Qwen 3.6 Flash,2026-04-27,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Flash,1,,,9,0.8444444444444444,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,simplebench,Alibaba,Qwen 3.6 Flash,2026-04-27,SimpleBench,2024-10-31,Alibaba / Qwen Flash,1,,,9,0.352,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Flash | 2026-04-27,simpleqa_verified,Alibaba,Qwen 3.6 Flash,2026-04-27,SimpleQA Verified,2025-09-09,Alibaba / Qwen Flash,1,,,9,0.2116349047141424,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-Max | 2025-09-24,ale_bench,Alibaba,Qwen3-Max,2025-09-24,ale_bench,2025-06-10,Alibaba / Qwen Max,2,Alibaba | Qwen2.5-Max | 2025-01-25,Qwen2.5-Max,9,370.45,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-Max | 2025-09-24,gpqa_diamond,Alibaba,Qwen3-Max,2025-09-24,GPQA diamond,2023-11-20,Alibaba / Qwen Max,2,Alibaba | Qwen2.5-Max | 2025-01-25,Qwen2.5-Max,9,0.726010101010101,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-Max | 2025-09-24,math_level_5,Alibaba,Qwen3-Max,2025-09-24,MATH level 5,2021-03-05,Alibaba / Qwen Max,2,Alibaba | Qwen2.5-Max | 2025-01-25,Qwen2.5-Max,9,0.9712990936555892,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-Max | 2025-09-24,otis_mock_aime_2024_2025,Alibaba,Qwen3-Max,2025-09-24,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Max,2,Alibaba | Qwen2.5-Max | 2025-01-25,Qwen2.5-Max,9,0.7333333333333333,,,,,,,,,,,,,
eligible,Alibaba | Qwen3-Max | 2025-09-24,simpleqa_verified,Alibaba,Qwen3-Max,2025-09-24,SimpleQA Verified,2025-09-09,Alibaba / Qwen Max,2,Alibaba | Qwen2.5-Max | 2025-01-25,Qwen2.5-Max,9,0.6746746746746747,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,chess_puzzles,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,Chess Puzzles,2025-12-10,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.2,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,frontiermath,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,FrontierMath-2025-02-28-Private,2025-02-28,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.2310344827586206,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,frontiermath_tier_4,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,FrontierMath-Tier-4-2025-07-01-Private,2025-07-01,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.0416666666666666,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,gpqa_diamond,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,GPQA diamond,2023-11-20,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.8737373737373737,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,otis_mock_aime_2024_2025,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.9111111111111112,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,simplebench,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,SimpleBench,2024-10-31,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.63,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,simpleqa_verified,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,SimpleQA Verified,2025-09-09,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.5692771084337349,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,swe_bench_verified,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,SWE-Bench verified,2024-08-13,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,0.7665289256198347,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,vending_bench_2,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,vending_bench_2,2025-11-18,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,4254.1866666666665,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,webdev_arena,Alibaba,Qwen 3.6 Max (Preview),2026-04-20,webdev_arena,2024-12-10,Alibaba / Qwen Max,3,Alibaba | Qwen3-Max | 2025-09-24,Qwen3-Max,11,1485.57,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,ale_bench,Alibaba,Qwen3.7-Max,2026-05-19,ale_bench,2025-06-10,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,1189.4,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,chess_puzzles,Alibaba,Qwen3.7-Max,2026-05-19,Chess Puzzles,2025-12-10,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.19,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,critpt,Alibaba,Qwen3.7-Max,2026-05-19,CritPt,2025-09-30,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.134285714285714,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,gpqa_diamond,Alibaba,Qwen3.7-Max,2026-05-19,GPQA diamond,2023-11-20,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.9090909090909092,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,otis_mock_aime_2024_2025,Alibaba,Qwen3.7-Max,2026-05-19,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.9555555555555556,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,scicode,Alibaba,Qwen3.7-Max,2026-05-19,scicode,2024-07-18,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.488425925925926,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,simplebench,Alibaba,Qwen3.7-Max,2026-05-19,SimpleBench,2024-10-31,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.7040000000000001,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,simpleqa_verified,Alibaba,Qwen3.7-Max,2026-05-19,SimpleQA Verified,2025-09-09,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.5851703406813628,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,swe_bench_verified,Alibaba,Qwen3.7-Max,2026-05-19,SWE-Bench verified,2024-08-13,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,0.7727272727272727,,,,,,,,,,,,,
eligible,Alibaba | Qwen3.7-Max | 2026-05-19,webdev_arena,Alibaba,Qwen3.7-Max,2026-05-19,webdev_arena,2024-12-10,Alibaba / Qwen Max,4,Alibaba | Qwen 3.6 Max (Preview) | 2026-04-20,Qwen 3.6 Max (Preview),13,1540.77,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,chess_puzzles,Alibaba,Qwen 3.8 Max,2026-08-02,Chess Puzzles,2025-12-10,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,0.29,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,deepswe,Alibaba,Qwen 3.8 Max,2026-08-02,DeepSWE,2025-07-02,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,0.5746102449888641,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,gpqa_diamond,Alibaba,Qwen 3.8 Max,2026-08-02,GPQA diamond,2023-11-20,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,0.9267676767676768,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,otis_mock_aime_2024_2025,Alibaba,Qwen 3.8 Max,2026-08-02,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,0.9944444444444444,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,simpleqa_verified,Alibaba,Qwen 3.8 Max,2026-08-02,SimpleQA Verified,2025-09-09,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,0.4629258517034068,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.8 Max | 2026-08-02,webdev_arena,Alibaba,Qwen 3.8 Max,2026-08-02,webdev_arena,2024-12-10,Alibaba / Qwen Max,5,Alibaba | Qwen3.7-Max | 2026-05-19,Qwen3.7-Max,8,1666.72,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,ale_bench,Alibaba,Qwen 3.6 Plus,2026-03-31,ale_bench,2025-06-10,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,670.15,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,chess_puzzles,Alibaba,Qwen 3.6 Plus,2026-03-31,Chess Puzzles,2025-12-10,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.17,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,critpt,Alibaba,Qwen 3.6 Plus,2026-03-31,CritPt,2025-09-30,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.0285714285714286,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,frontiermath,Alibaba,Qwen 3.6 Plus,2026-03-31,FrontierMath-2025-02-28-Private,2025-02-28,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.2620689655172414,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,frontiermath_tier_4,Alibaba,Qwen 3.6 Plus,2026-03-31,FrontierMath-Tier-4-2025-07-01-Private,2025-07-01,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.0833333333333333,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,gpqa_diamond,Alibaba,Qwen 3.6 Plus,2026-03-31,GPQA diamond,2023-11-20,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.8838383838383839,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,otis_mock_aime_2024_2025,Alibaba,Qwen 3.6 Plus,2026-03-31,OTIS Mock AIME 2024-2025,2024-12-19,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.9333333333333332,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,scicode,Alibaba,Qwen 3.6 Plus,2026-03-31,scicode,2024-07-18,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.407407407407407,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,simpleqa_verified,Alibaba,Qwen 3.6 Plus,2026-03-31,SimpleQA Verified,2025-09-09,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.4909819639278557,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,swe_bench_verified,Alibaba,Qwen 3.6 Plus,2026-03-31,SWE-Bench verified,2024-08-13,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,0.5785123966942148,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,vending_bench_2,Alibaba,Qwen 3.6 Plus,2026-03-31,vending_bench_2,2025-11-18,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,5114.872000000001,,,,,,,,,,,,,
eligible,Alibaba | Qwen 3.6 Plus | 2026-03-31,webdev_arena,Alibaba,Qwen 3.6 Plus,2026-03-31,webdev_arena,2024-12-10,Alibaba / Qwen Plus,3,Alibaba | Qwen Plus | 2025-04-28,Qwen Plus,15,1460.44,,,,,,,,,,,,,
eligible,Anthropic | Claude 3 Haiku | 2024-03-07,gpqa_diamond,Anthropic,Claude 3 Haiku,2024-03-07,GPQA diamond,2023-11-20,Anthropic / Claude Haiku,1,,,9,0.3630050505050505,,,,,,,,,,,,,
eligible,Anthropic | Claude 3 Haiku | 2024-03-07,math_level_5,Anthropic,Claude 3 Haiku,2024-03-07,MATH level 5,2021-03-05,Anthropic / Claude Haiku,1,,,9,0.1487915407854985,,,,,,,,,,,,,
eligible,Anthropic | Claude 3 Haiku | 2024-03-07,mmlu,Anthropic,Claude 3 Haiku,2024-03-07,MMLU,2020-09-07,Anthropic / Claude Haiku,1,,,9,0.738,,,,,,,,,,,,,
eligible,Anthropic | Claude 3 Haiku | 2024-03-07,science_qa,Anthropic,Claude 3 Haiku,2024-03-07,ScienceQA,2022-09-20,Anthropic / Claude Haiku,1,,,9,0.72,,,,,,,,,,,,,
eligible,Anthropic | Claude 3 Haiku | 2024-03-07,wino_grande,Anthropic,Claude 3 Haiku,2024-03-07,Winogrande,2019-07-24,Anthropic / Claude Haiku,1,,,9,0.742,,,,,,,,,,,,,
eligible,Anthropic | Claude 3.5 Haiku | 2024-10-22,gpqa_diamond,Anthropic,Claude 3.5 Haiku,2024-10-22,GPQA diamond,2023-11-20,Anthropic / Claude Haiku,2,Anthropic | Claude 3 Haiku | 2024-03-07,Claude 3 Haiku,15,0.3813131313131313,,,,,,,,,,,,,
eligible,Anthropic | Claude 3.5 Haiku | 2024-10-22,live_bench,Anthropic,Claude 3.5 Haiku,2024-10-22,live_bench,2024-06-27,Anthropic / Claude Haiku,2,Anthropic | Claude 3 Haiku | 2024-03-07,Claude 3 Haiku,15,43.45,,,,,,,,,,,,,
eligible,Anthropic | Claude 3.5 Haiku | 2024-10-22,math_level_5,Anthropic,Claude 3.5 Haiku,2024-10-22,MATH level 5,2021-03-05,Anthropic / Claude Haiku,2,Anthropic | Claude 3 Haiku | 2024-03-07,Claude 3 Haiku,15,0.4635574018126888,,,,,,,,,,,,,
eligible,Anthropic | Claude 3.5 Haiku | 2024-10-22,mmlu,Anthropic,Claude 3.5 Haiku,2024-10-22,MMLU,2020-09-07,Anthropic / Claude Haiku,2,Anthropic | Claude 3 Haiku | 2024-03-07,Claude 3 Haiku,15,0.743,,,,,,,,,,,,,
eligible,Anthropic | Claude 3.5 Haiku | 2024-10-22,scicode,Anthropic,Claude 3.5 Haiku,2024-10-22,scicode,2024-07-18,Anthropic / Claude Haiku,2,Anthropic | Claude 3 Haiku | 2024-03-07,Claude 3 Haiku,15,0.274305555555556,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,ale_bench,Anthropic,Claude Haiku 4.5,2025-10-15,ale_bench,2025-06-10,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,653.48,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,arc_agi,Anthropic,Claude Haiku 4.5,2025-10-15,ARC-AGI,2019-11-05,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,0.4767,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,arc_agi_2,Anthropic,Claude Haiku 4.5,2025-10-15,ARC-AGI-2,2025-03-24,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,0.0403,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,balrog,Anthropic,Claude Haiku 4.5,2025-10-15,Balrog,2024-11-20,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,0.312,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,critpt,Anthropic,Claude Haiku 4.5,2025-10-15,CritPt,2025-09-30,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,0.0,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,forecastbench,Anthropic,Claude Haiku 4.5,2025-10-15,forecastbench,2024-09-30,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,61.4,,,,,,,,,,,,,
eligible,Anthropic | Claude Haiku 4.5 | 2025-10-15,frontiermath,Anthropic,Claude Haiku 4.5,2025-10-15,FrontierMath-2025-02-28-Private,2025-02-28,Anthropic / Claude Haiku,3,Anthropic | Claude 3.5 Haiku | 2024-10-22,Claude 3.5 Haiku,21,0.0590277777777777,,,,,,,,,,,,,
